DBN,school_name,math_score,reading_score,writing_score
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,355,355,358
16K455,BOYS AND GIRLS HIGH SCHOOL,370,365,362
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,372,362,358
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,372,370,351
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,s,s,s
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,374,396,369
17K408,ACADEMY OF HOSPITALITY AND TOURISM,342,352,351
17K467,ERASMUS YABC,s,s,s
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,364,394,334
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,335,287,291
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,385,403,388
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",381,348,359
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,404,377,372
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,349,338,340
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,375,362,368
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",462,457,441
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,391,386,369
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,441,418,414
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,382,388,373
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,393,385,373
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,356,372,335
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,481,476,479
17K600,CLARA BARTON HIGH SCHOOL,413,425,413
17K625,PAUL ROBESON HIGH SCHOOL,363,365,355
17K751,ACADEMY FOR HEALTH CAREERS,s,s,s
18K563,IT TAKES A VILLAGE ACADEMY,320,313,330
18K566,BROOKLYN GENERATION SCHOOL,377,374,394
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,358,383,377
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,378,368,346
18K576,VICTORY COLLEGIATE HIGH SCHOOL,377,387,379
18K578,BROOKLYN BRIDGE ACADEMY,362,384,351
18K589,ARTS & MEDIA PREPARATORY ACADEMY,360,361,359
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,393,404,386
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,395,393,381
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,380,386,393
18K635,OLYMPUS ACADEMY,370,400,370
